Hydraulic_Pressure(bar),Coolant_Pressure(bar),Air_System_Pressure(bar),Coolant_Temperature,Hydraulic_Oil_Temperature(°C),Spindle_Bearing_Temperature(°C),Spindle_Vibration(µm),Tool_Vibration(µm),Spindle_Speed(RPM),Voltage(volts),Torque(Nm),Cutting(kN)
71.04,6.933724915,6.284964506,25.6,46,33.4,1.291,26.492,25892,335,24.05532601,3.58
125.33,4.936891865,6.19673253,35.3,47.4,34.6,1.382,25.274,19856,368,14.20288973,2.68
71.12,6.839413159,6.655448451,13.1,40.7,33,1.319,30.608,19851,325,24.04926704,3.55
139.34,4.574382007,6.560393963,24.4,44.2,40.6,0.618,30.791,18461,360,25.86002925,3.55
60.51,6.893181921,6.141237748,4.1,47.3,31.4,0.983,25.516,26526,354,25.51587386,3.55
137.37,5.918357337,7.228066182,5.4,48,32.7,0.903,25.597,27613,319,25.52133005,3.55
135.93,6.560332199,6.710999273,19.3,48.8,37.4,1.24,32.138,26605,438,25.45465209,3.58
127.7151635,5.060708564,6.002229092,20.8,45.8,37.5,1.125,19.823,14266,334,34.97300419,2.02
123.618456,5.074379701,6.039523625,4.5,51.5,32.1,0.69,16.972,20413,278,32.51929855,2.88
134.02,5.567856573,6.733095792,14,47.9,35.2,0.748,36.601,20504,379,25.61856721,3.93
71.71,5.358623507,6.525744181,34.3,43,32.4,0.671,25.069,17919,396,25.46144,3.67
134.54,4.566853902,5.758371467,11.5,46.2,37.6,0.661,18.75,21951,366,25.61306937,3.59
55.53,6.960635908,6.382844492,14.7,47.2,36.2,0.896,29.317,25528,364,25.46415618,3.69
61.73,4.62776082,6.082861294,30.3,50.2,28,0.884,27.513,18660,328,25.58424437,3.55
80.27,4.622771809,6.335997361,29.8,51.2,31.1,0.438,26.668,18644,349,25.60620039,3.67
142.36,4.624427746,7.13147428,28.7,44.9,31,0.46,33.567,18648,341,25.60070785,3.69
63.76,4.62478014,6.537125848,27,45.1,38.6,0.899,35.34,18650,297,25.59796247,3.67
141.14,4.626567992,6.870613037,26.4,52.6,33.8,1.118,21.192,18654,287,25.59247346,3.61
93.65,4.84252053,6.084632707,19.5,52.3,35.2,1.211,21.886,23432,434,25.46551448,3.67
74.86,6.863944117,6.164535184,15.7,44.5,38.7,1.428,20.86,21951,346,25.52269447,2.49
